Latitude,Longitude,Year,Month,startdate,enddate
-23.694734,30.971842,2023,04 Dec - 06 Dec,2023-12-04,2023-12-06
-23.852925,31.085575,2023,04 Dec - 06 Dec,2023-12-04,2023-12-06
-23.611912,31.001714,2023,04 Dec - 06 Dec,2023-12-04,2023-12-06
-23.801483,30.967619,2023,04 Dec - 06 Dec,2023-12-04,2023-12-06
-23.699068,30.875991,2023,04 Dec - 06 Dec,2023-12-04,2023-12-06
-23.7076729726,30.9113333746,2023,16 Feb - 16 Mar,2023-02-16,2023-03-16
-22.26875,29.34191,2017,23 Nov - 18 Dec,2017-11-23,2017-12-18
-22.294748,29.367836,2017,23 Nov - 18 Dec,2017-11-23,2017-12-18
-22.274843,29.356243,2017,23 Nov - 18 Dec,2017-11-23,2017-12-18
-22.26875,29.34191,2018,19 Mar - 03 Apr,2018-03-19,2018-04-03
-22.294748,29.367836,2018,19 Mar - 03 Apr,2018-03-19,2018-04-03
-22.274843,29.356243,2018,19 Mar - 03 Apr,2018-03-19,2018-04-03
-22.22631,29.3323,2018,19 Mar - 03 Apr,2018-03-19,2018-04-03
-22.40685,29.3575,2018,19 Mar - 03 Apr,2018-03-19,2018-04-03
-22.42157,29.34173,2018,19 Mar - 03 Apr,2018-03-19,2018-04-03
-22.26426,29.513632,2018,22 Mar - 25 Mar,2018-03-22,2018-03-25
-22.311754,29.510634,2018,22 Mar - 25 Mar,2018-03-22,2018-03-25
-22.74191,29.83092,2018,29 Mar - 31 Mar,2018-03-29,2018-03-31
-22.73796,29.84162,2018,29 Mar - 31 Mar,2018-03-29,2018-03-31
-23.5962,30.8985,2020,30 Dec - 21 Dec,2020-12-30,2020-12-21
-22.3537,29.3007,2020,26 Nov - 30 Nov,2020-11-26,2020-11-30
